날짜 시간,pH (pH) (926722),pH mV (mV) (926722),ORP (mV) (926722),Actual Conductivity (μS/cm) (1041604),Specific Conductivity (μS/cm) (1041604),염도 (PSU) (1041604),저항력 (Ω?cm) (1041604),밀도 (g/cm³) (1041604),총 용존 고형물 (TDS) (ppt) (1041604),온도 (°C) (957959),압력 (psi) (956604),깊이 (m) (956604),표면 고도 (m) (956604),외부 전압 (V) (957959),대기압 (mbar) (958671),온도 (°C) (958671),위도 (°),경도 (°),표시됨
오후 2:58:39,7.2601805,-12.482042,151.15472,1.6560556,2.2031925,0.000172436,603832.75,0.9995,0.001432102,11.997996,1.8838013,1.5160334,-8.877202,17.220058,991.72125,42.90174,36.57850732,128.7639181,
오후 2:58:40,7.260236,-12.485034,151.1404,1.65726,2.2049005,0.000172978,604192.94,0.99950033,0.001431348,11.99611,1.8808098,1.5138253,-8.880451,17.219578,991.76465,42.883663,36.57850732,128.7639181,
오후 2:58:41,7.260251,-12.485878,151.14023,1.6573538,2.205034,0.000173021,604206.4,0.9995004,0.001431323,11.995958,1.8804361,1.513555,-8.8807535,17.218954,991.76636,42.881207,36.57850732,128.7639181,
오후 2:58:42,7.2599983,-12.471832,151.13971,1.6562252,2.203657,0.000172583,603889.75,0.9995005,0.001432127,11.995123,1.8854184,1.5169073,-8.877289,17.226582,991.75934,42.863907,36.57850732,128.7639181,
오후 2:58:43,7.2599835,-12.471013,151.13933,1.6561829,2.2036111,0.000172569,603878.8,0.9995006,0.001432159,11.995024,1.8856558,1.5170628,-8.877152,17.227053,991.75995,42.862404,36.57850732,128.7639181,
오후 2:58:44,7.2599688,-12.470195,151.13895,1.6561407,2.2035651,0.000172555,603867.94,0.9995006,0.00143219,11.9949255,1.8858931,1.5172182,-8.877015,17.227524,991.76056,42.8609,36.57850732,128.7639181,
오후 2:58:45,7.260488,-12.498707,151.12875,1.6543823,2.2013297,0.000171841,604482.5,0.99950075,0.001430801,11.991677,1.8826724,1.5149283,-8.879216,17.219933,991.7687,42.83463,36.57850732,128.7639181,
오후 2:58:46,7.260514,-12.500118,151.12811,1.6542454,2.2011569,0.000171786,604512.44,0.9995008,0.001430735,11.991456,1.8825982,1.5148709,-8.879265,17.219652,991.769,42.832573,36.57850732,128.7639181,
오후 2:58:47,7.2605395,-12.50153,151.12747,1.6541084,2.200984,0.00017173,604542.44,0.9995008,0.00143067,11.991235,1.8825239,1.5148133,-8.879313,17.219372,991.7693,42.83052,36.57850732,128.7639181,
오후 2:58:48,7.259542,-12.446569,151.14018,1.6543933,2.2014675,0.000171892,604451.25,0.99950105,0.001431902,11.989331,1.8818955,1.5135356,-8.87981,17.219166,991.70685,42.803703,36.57850732,128.7639181,
오후 2:58:49,7.2594943,-12.443933,151.1407,1.6543652,2.2014391,0.000171883,604461.5,0.9995011,0.001431942,11.989129,1.8817748,1.5133986,-8.879897,17.21896,991.70325,42.80137,36.57850732,128.7639181,
오후 2:58:50,7.2589846,-12.415796,151.15749,1.6569657,2.205079,0.000173062,603513.06,0.99950135,0.001433416,11.988286,1.8851892,1.5160444,-8.877498,17.242289,991.7535,42.78364,36.57850732,128.7639181,
오후 2:58:51,7.258928,-12.41265,151.15886,1.6571364,2.2053204,0.00017314,603450.75,0.9995014,0.001433539,11.988185,1.885391,1.516181,-8.8773575,17.24376,991.7551,42.78185,36.57850732,128.7639181,
오후 2:58:52,7.2588706,-12.409504,151.16023,1.6573071,2.2055614,0.000173218,603388.5,0.9995014,0.001433663,11.988084,1.8855929,1.5163176,-8.877216,17.24523,991.7567,42.780052,36.57850732,128.7639181,
오후 2:58:53,7.260383,-12.492604,151.1517,1.6549394,2.20251,0.000172241,604251.9,0.9995016,0.001431653,11.983915,1.8904685,1.5194156,-8.873788,17.221554,991.7762,42.76271,36.57850732,128.7639181,
오후 2:58:54,7.260462,-12.49693,151.15164,1.654863,2.2024193,0.000172213,604279.75,0.99950165,0.00143157,11.983636,1.8908573,1.5196748,-8.873514,17.220718,991.7787,42.761158,36.57850732,128.7639181,
오후 2:58:55,7.260251,-12.485241,151.14523,1.6556772,2.2035863,0.000172592,603982.5,0.99950176,0.001432331,11.98207,1.8824283,1.5139459,-8.87944,17.219934,991.7705,42.74366,36.57850732,128.7639181,
오후 2:58:56,7.260274,-12.486504,151.14462,1.6556711,2.203586,0.000172592,603984.75,0.9995018,0.001432331,11.981868,1.882013,1.5136579,-8.879732,17.219305,991.77045,42.742115,36.57850732,128.7639181,
오후 2:58:57,7.2602973,-12.487767,151.14401,1.6556649,2.2035856,0.000172593,603987,0.9995018,0.001432331,11.981666,1.8815976,1.51337,-8.880025,17.218678,991.7704,42.74057,36.57850732,128.7639181,
오후 2:58:58,7.2608795,-12.519762,151.15445,1.657228,2.2057865,0.000172618,604012.1,0.9995021,0.001432367,11.979545,1.8865525,1.5175383,-8.876541,17.219,991.7874,42.723022,36.57850732,128.7639181,
오후 2:58:59,7.26091,-12.52144,151.15492,1.657346,2.2059534,0.000172629,604005.9,0.9995022,0.001432389,11.979372,1.8866398,1.5176473,-8.876479,17.219,991.78827,42.721478,36.57850732,128.7639181,
오후 2:59:00,7.260023,-12.472494,151.14928,1.6553749,2.2034183,0.000172455,604174.3,0.99950224,0.001432031,11.978815,1.8926637,1.521179,-8.872245,17.211428,991.7889,42.695545,36.57850732,128.7639181,
오후 2:59:01,7.259981,-12.47017,151.14917,1.6552851,2.2033074,0.000172444,604186.2,0.9995023,0.001432008,11.978727,1.8931756,1.5215101,-8.871884,17.210943,991.78937,42.693466,36.57850732,128.7639181,
오후 2:59:02,7.2599387,-12.467846,151.14906,1.6551955,2.2031965,0.000172433,604198,0.9995023,0.001431985,11.978641,1.8936875,1.5218413,-8.871525,17.210459,991.7898,42.691387,36.57850732,128.7639181,
오후 2:59:03,7.2607007,-12.50971,151.1571,1.6575234,2.2063496,0.000173473,603329.8,0.9995024,0.001434081,11.976645,1.8824548,1.5151671,-8.878378,17.218073,991.7636,42.664852,36.57850732,128.7639181,
오후 2:59:04,7.2607255,-12.511074,151.15746,1.6576186,2.206482,0.000173534,603279.44,0.9995024,0.001434203,11.976506,1.8819002,1.514836,-8.878701,17.218357,991.76196,42.662518,36.57850732,128.7639181,
오후 2:59:05,7.2607503,-12.512438,151.15782,1.6577139,2.2066145,0.000173595,603229,0.9995024,0.001434326,11.976368,1.8813456,1.5145047,-8.879025,17.218641,991.7603,42.660183,36.57850732,128.7639181,
오후 2:59:06,7.2604666,-12.496791,151.17477,1.6573163,2.2061863,0.000173448,603553.7,0.99950296,0.001433697,11.974543,1.8867476,1.5171908,-8.876285,17.210888,991.6633,42.63415,36.57850732,128.7639181,
오후 2:59:07,7.26047,-12.496953,151.17601,1.6573541,2.206244,0.000173467,603550,0.99950296,0.001433716,11.97438,1.8867755,1.5171762,-8.876301,17.210623,991.6568,42.63186,36.57850732,128.7639181,
